id,name,occupation,age
0,Natasha Kaplinsky,Television presenter,31
1,Lesley Garrett,Singer,49
2,Christopher Parker,Actor,20
3,Jason Wood,Comedian,32
4,Verona Joseph,Actress,30
5,Claire Sweeney,Actress,33
6,David Dickinson,Television presenter,63
7,Martin Offiah,Rugby player,37
8,Julian Clary,Comedian,45
9,Carol Vorderman,Television presenter,43
10,Diarmuid Gavin,Garden designer,40
11,Esther Rantzen,Television presenter,64
12,Quentin Willson,Television presenter,47
13,Sarah Manners,Actress,29
14,Roger Black,Athlete,38
15,Denise Lewis,Athlete,32
16,Aled Jones,Singer,33
17,Jill Halfpenny,Actress,29
18,Darren Gough,Cricketer,35
19,Patsy Palmer,Actress,33
20,Colin Jackson,Athlete,38
21,Siobhan Hayes,Actress,30
22,James Martin,Chef,33
23,Gloria Hunniford,Television presenter,65
24,Will Thorp,Actor,28
25,Jaye Jacobs,Actress,23
26,Bill Turnbull,News presenter,49
27,Fiona Phillips,Television presenter,44
28,Dennis Taylor,Snooker player,56
29,Zoë Ball,Television presenter,35
30,Matt Dawson,Rugby player,34
31,Nicholas Owen,Television presenter,59
32,Ray Fearon,Actor,39
33,Peter Schmeichel,Footballer,43
34,DJ Spoony,DJ,36
35,Jimmy Tarbuck,Comedian,66
36,Mark Ramprakash,Cricketer,37
37,Carol Smillie,Television presenter,44
38,Mica Paris,Singer,37
39,Louisa Lytton,Actress,17
40,Georgina Bouzova,Actress,27
41,Jan Ravens,Actress,48
42,Claire King,Actress,43
43,Emma Bunton,Singer,30
44,Matt Di Angelo,Actor,20
45,Brian Capron,Actor,60
46,Dominic Littlewood,Television presenter,42
47,Willie Thorne,Snooker player,53
48,Gethin Jones,Television presenter,29
49,Kenny Logan,Rugby player,35
50,John Barnes,Footballer,44
51,Stephanie Beacham,Actress,60
52,Letitia Dean,Actress,40
53,Kate Garraway,Television presenter,40
54,Alesha Dixon,Singer,29
55,Penny Lancaster,Model,36
56,Kelly Brook,Model,28
57,Gabby Logan,Television presenter,34
58,Tom Chambers,Actor,31
59,Phil Daniels,Actor,50
60,Don Warrington,Actor,55
61,Austin Healey,Rugby player,35
62,Mark Foster,Swimmer,38
63,Gary Rhodes,Chef,48
64,John Sergeant,Television presenter,64
65,Andrew Castle,Television presenter,45
66,Jessie Wallace,Actress,37
67,Christine Bleakley,Television presenter,29
68,Lisa Snowdon,Television presenter,36
69,Jodie Kidd,Model,30
70,Heather Small,Singer,43
71,Gillian Taylforth,Actress,53
72,Rachel Stevens,Singer,30
73,Cherie Lunghi,Actress,56
74,Rav Wilding,Television presenter,32
75,Jade Johnson,Athlete,29
76,Ricky Groves,Actor,41
77,Ali Bastian,Actress,27
78,Chris Hollins,Television presenter,38
79,Lynda Bellingham,Actress,61
80,Martina Hingis,Tennis player,29
81,Joe Calzaghe,Boxer,37
82,Natalie Cassidy,Actress,26
83,Phil Tufnell,Cricketer,43
84,Zöe Lucker,Actress,35
85,Craig Kelly,Actor,39
86,Laila Rouass,Actress,38
87,Richard Dunwoody,Jockey,45
88,Jo Wood,Model,54
89,Ricky Whittle,Actor,28
90,Felicity Kendal,Actor,64
91,Scott Maslen,Actor,39
92,Goldie,DJ,45
93,Patsy Kensit,Actress,42
94,Matt Baker,Television presenter,32
95,Pamela Stephenson,Clinical psychologist,60
96,Paul Daniels,Magician,72
97,Jimi Mistry,Actor,37
98,Peter Shilton,Footballer,61
99,Michelle Williams,Singer,30
100,Gavin Henson,Rugby player,28
101,Tina O'Brien,Actress,27
102,Ann Widdecombe,Politician,62
103,Kara Tointon,Actress,27
104,Holly Valance,Singer,29
105,Dan Lobb,Tennis player,39
106,Lulu,Singer,63
107,Audley Harrison,Boxer,41
108,Robbie Savage,Footballer,37
109,Anita Dobson,Actress,62
110,Russell Grant,Astrologer,60
111,Harry Judd,Musician,25
112,Rory Bremner,Comedian,50
113,Alex Jones,Television presenter,34
114,Chelsee Healey,Actress,23
115,Edwina Currie,Politician,64
116,Nancy Dell'Olio,Lawyer,50
117,Jason Donovan,Singer,43
118,Fern Britton,Television presenter,55
119,Nicky Byrne,Singer,34
120,Michael Vaughan,Cricketer,38
121,Victoria Pendleton,Cyclist,32
122,Colin Salmon,Actor,49
123,Denise van Outen,Television presenter,38
124,Kimberley Walsh,Singer,31
125,Sid Owen,Actor,40
126,Johnny Ball,Television presenter,74
127,Dani Harmer,Actress,23
128,Lisa Riley,Television presenter,36
129,Richard Arnold,Television presenter,42
130,Jerry Hall,Model,56
131,Louis Smith,Gymnast,23
132,Ashley Taylor Dawson,Actor,31
133,Tony Jacklin,Golfer,69
134,Mark Benton,Actor,48
135,Susanna Reid,Journalist,43
136,Sophie Ellis-Bextor,Singer,34
137,Natalie Gumede,Actress,29
138,Ben Cohen,Rugby player,35
139,Fiona Fullerton,Actress,57
140,Dave Myers,Television presenter,55
141,Rachel Riley,Television presenter,27
142,Julien Macdonald,Fashion designer,42
143,Deborah Meaden,Businessperson,54
144,Patrick Robinson,Actor,50
145,Vanessa Feltz,Television presenter,51
146,Abbey Clancy,Model,27
147,Caroline Flack,Television presenter,35
148,Tim Wonnacott,Television presenter,61
149,Jake Wood,Actor,42
150,Judy Murray,Tennis coach,55
151,Scott Mills,DJ,40
152,Pixie Lott,Singer,23
153,Mark Wright,Television presenter,27
154,Alison Hammond,Television presenter,39
155,Steve Backshall,Television presenter,41
156,Jennifer Gibney,Actress,50
157,Thom Evans,Rugby player,29
158,Sunetra Sarker,Actress,41
159,Gregg Wallace,Television presenter,49
160,Frankie Bridge,Singer,25
161,Simon Webbe,Singer,36
162,Kellie Bright,Actress,39
163,Anthony Ogogo,Boxer,26
164,Helen George,Actress,31
165,Carol Kirkwood,Television presenter,53
166,Daniel O'Donnell,Singer,53
167,Anita Rani,Television presenter,38
168,Jay McGuiness,Singer,25
169,Kirsty Gallacher,Television presenter,39
170,Jeremy Vine,Television presenter,50
171,Georgia May Foote,Actress,24
172,Ainsley Harriott,Chef,58
173,Katie Derham,News presenter,45
174,Iwan Thomas,Athlete,41
175,Jamelia,Singer,34
176,Peter Andre,Singer,42
177,Laura Whitmore,Television presenter,31
178,Naga Munchetty,News presenter,41
179,Judge Rinder,Barrister,38
180,Lesley Joseph,Actress,71
181,Ore Oduba,Television presenter,30
182,Greg Rutherford,Athlete,30
183,Louise Redknapp,Singer,42
184,Melvin Odoom,Television presenter,36
185,Daisy Lowe,Model,27
186,Danny Mac,Actor,28
187,Tameka Empson,Actress,39
188,Anastacia,Singer,48
189,Ed Balls,Politician,49
190,Claudia Fragapane,Gymnast,19
191,Will Young,Singer,37
192,Mollie King,Singer,30
193,Davood Ghadami,Actor,35
194,Ruth Langsford,Television presenter,57
195,Gemma Atkinson,Actress,33
196,Rev. Richard Coles,Priest,55
197,Joe McFadden,Actor,42
198,Simon Rimmer,Chef,54
199,Aston Merrygold,Singer,29
200,Susan Calman,Comedian,43
201,Brian Conley,Comedian,56
202,Charlotte Hawkins,News presenter,42
203,Chizzy Akudolu,Actress,43
204,Debbie McGee,Television personality,59
205,Jonnie Peacock,Athlete,24
206,Alexandra Burke,Singer,29
207,Katie Piper,Author/activist,34
208,Faye Tozer,Singer,42
209,Danny John-Jules,Actor,58
210,Joe Sugg,YouTuber,27
