Couple,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Natashi Kaplinsky & Brendan Cole,Cha cha cha,Chain Of Fools,1,1,1,5,7,8,7,-,-,-,-,27
Lesley Garrett & Anton du Beke,Waltz,He Was Beautiful,1,1,2,6,8,8,7,-,-,-,-,29
Chris Parker & Hanna Karttunen,Cha cha cha,Lady Marmalade,1,1,3,4,4,7,4,-,-,-,-,19
Jason Wood & Kylie Jones,Waltz,Three Times A Lady,1,1,4,5,5,6,5,-,-,-,-,21
Verona Joseph & Paul Killick,Cha cha cha,R.E.S.P.E.C.T,1,1,5,7,6,7,7,-,-,-,-,27
Claire Sweeney & John Byrness,Waltz,Unchained Melody,1,1,6,7,7,8,5,-,-,-,-,27
David Dickinson & Camilla Dallerup,Cha cha cha,Sex Bomb,1,1,7,2,4,6,4,-,-,-,-,16
Martin Offiah & Erin Boag,Waltz,Come Away With Me,1,1,8,5,6,7,7,-,-,-,-,25
Natashi Kaplinsky & Brendan Cole,Quickstep,The Lady Is A Tramp,1,2,1,7,8,8,8,-,-,-,-,31
Martin Offiah & Erin Boag,Rumba,Hero,1,2,2,3,5,7,6,-,-,-,-,21
Chris Parker & Hanna Karttunen,Quickstep,You're The One That I Want,1,2,3,5,6,6,6,-,-,-,-,23
Claire Sweeney & John Byrness,Rumba,Angels,1,2,4,6,6,7,7,-,-,-,-,26
Verona Joseph & Paul Killick,Quickstep,If My Friends Could See Me Now,1,2,5,6,6,6,6,-,-,-,-,24
Jason Wood & Kylie Jones,Rumba,Leave Right Now,1,2,6,2,5,7,5,-,-,-,-,19
David Dickinson & Camilla Dallerup,Quickstep,Let's Face The Music And Dance,1,2,7,3,6,6,6,-,-,-,-,21
Lesley Garrett & Anton du Beke,Rumba,You'll Never Find Another Love Like Mine,1,2,8,6,7,7,7,-,-,-,-,27
Verona Joseph & Paul Killick,Jive,Proud Mary,1,3,1,6,6,6,6,-,-,-,-,24
Lesley Garrett & Anton du Beke,Tango,Sensation,1,3,2,7,8,7,7,-,-,-,-,29
Martin Offiah & Erin Boag,Jive,Great Balls Of Fire,1,3,3,5,5,5,6,-,-,-,-,21
David Dickinson & Camilla Dallerup,Tango,La Cumparsita,1,3,4,4,6,5,5,-,-,-,-,20
Chris Parker & Hanna Karttunen,Jive,Do You Love Me?,1,3,5,5,4,5,5,-,-,-,-,19
Claire Sweeney & John Byrness,Tango,Roxanne,1,3,6,8,9,9,8,-,-,-,-,34
Natashi Kaplinsky & Brendan Cole,Jive,"Jump, Jive And Wail",1,3,7,7,7,5,7,-,-,-,-,26
Claire Sweeney & John Byrness,Paso doble,Espana Cani,1,4,1,8,8,7,8,-,-,-,-,31
Chris Parker & Hanna Karttunen,Foxtrot,Flying Without Wings,1,4,2,6,7,8,7,-,-,-,-,28
Verona Joseph & Paul Killick,Paso doble,Bolero,1,4,3,5,6,6,7,-,-,-,-,24
Natashi Kaplinsky & Brendan Cole,Foxtrot,Girl From Ipanema,1,4,4,8,9,9,9,-,-,-,-,35
Lesley Garrett & Anton du Beke,Paso doble,Scott & Fran's Paso Doble,1,4,5,7,7,8,8,-,-,-,-,30
Martin Offiah & Erin Boag,Foxtrot,Let's Do It (Let's Fall In Love),1,4,6,6,5,7,6,-,-,-,-,24
Lesley Garrett & Anton du Beke,Samba,Mas Que Nada,1,5,1,7,6,7,7,-,-,-,-,27
Martin Offiah & Erin Boag,Samba,Crickets Sing For Ana Maria,1,5,2,5,5,6,6,-,-,-,-,22
Chris Parker & Hanna Karttunen,Samba,Soul Bossa Nova,1,5,3,3,4,4,4,-,-,-,-,15
Claire Sweeney & John Byrness,Samba,Shake Your Bon-Bon,1,5,4,8,8,8,8,-,-,-,-,32
Natashi Kaplinsky & Brendan Cole,Samba,Love Is In The Air,1,5,5,9,10,9,9,-,-,-,-,37
Martin Offiah & Erin Boag,Quickstep,It Don't Mean A Thing If You Ain't Got That Swing,1,6,1,5,6,6,7,-,-,-,-,24
Natashi Kaplinsky & Brendan Cole,Tango,Libertango,1,6,2,8,7,8,8,-,-,-,-,31
Chris Parker & Hanna Karttunen,Waltz,I Have Nothing,1,6,3,5,6,5,6,-,-,-,-,22
Lesley Garrett & Anton du Beke,Foxtrot,I've Got You Under My Skin,1,6,4,8,8,9,9,-,-,-,-,34
Martin Offiah & Erin Boag,Cha cha cha,Smooth,1,6,5,6,6,6,6,-,-,-,-,24
Natashi Kaplinsky & Brendan Cole,Rumba,Endless Love,1,6,6,9,9,9,9,-,-,-,-,36
Chris Parker & Hanna Karttunen,Paso doble,Bamboleo,1,6,7,3,4,5,3,-,-,-,-,15
Lesley Garrett & Anton du Beke,Cha cha cha,Spinning Around,1,6,8,6,6,7,7,-,-,-,-,26
Lesley Garrett & Anton du Beke,Quickstep,That Old Black Magic,1,7,1,8,8,8,9,-,-,-,-,33
Natashi Kaplinsky & Brendan Cole,Waltz,With You I'm Born Again,1,7,2,9,9,9,9,-,-,-,-,36
Chris Parker & Hanna Karttunen,Tango,Toxic,1,7,3,2,6,7,6,-,-,-,-,21
Lesley Garrett & Anton du Beke,Jive,My Baby Just Cares For Me,1,7,4,7,7,8,7,-,-,-,-,29
Natashi Kaplinsky & Brendan Cole,Paso doble,O Fortuna,1,7,5,8,9,9,9,-,-,-,-,35
Chris Parker & Hanna Karttunen,Rumba,Careless Whisper,1,7,6,2,4,5,5,-,-,-,-,16
Natashi Kaplinsky & Brendan Cole,Quickstep,The Lady Is A Tramp,1,8,1,9,9,9,9,-,-,-,-,36
Chris Parker & Hanna Karttunen,Waltz,I Have Nothing,1,8,2,6,5,6,7,-,-,-,-,24
Natashi Kaplinsky & Brendan Cole,Samba,Love Is In The Air,1,8,3,7,7,9,8,-,-,-,-,31
Chris Parker & Hanna Karttunen,Jive,Do You Love Me?,1,8,4,3,3,7,4,-,-,-,-,17
Natashi Kaplinsky & Brendan Cole,Show dance,(I've Had) The Time Of My Life,1,8,5,8,9,9,9,-,-,-,-,35
Chris Parker & Hanna Karttunen,Show dance,Fame!,1,8,6,4,6,7,5,-,-,-,-,22
Julian Clary & Erin Boag,Cha cha cha,I'm Outta Love,2,1,1,4,4,5,6,-,-,-,-,19
Carol Vorderman & Paul Killick,Waltz,Abergavenny,2,1,2,5,6,5,6,-,-,-,-,22
Diarmuid Gavin & Nicole Cutler,Cha cha cha,September,2,1,3,2,2,4,4,-,-,-,-,12
